"vol","price","side","date time"
800,18.85,sell,2024-11-15 09:36:30
400,18.85,sell,2024-11-15 09:36:30
"2,600",18.85,sell,2024-11-15 09:36:30
100,18.85,sell,2024-11-15 09:36:30
"1,000",18.8,sell,2024-11-15 09:36:30
"2,500",18.8,sell,2024-11-15 09:36:30
100,18.8,sell,2024-11-15 09:36:30
"1,300",18.8,sell,2024-11-15 09:36:30
600,18.8,sell,2024-11-15 09:37:26
"5,000",18.8,sell,2024-11-15 09:37:26
500,18.8,sell,2024-11-15 09:37:26
100,18.8,sell,2024-11-15 09:37:26
"3,800",18.8,sell,2024-11-15 09:37:26
100,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
"5,300",18.8,sell,2024-11-15 09:37:32
"1,000",18.8,sell,2024-11-15 09:37:32
200,18.8,sell,2024-11-15 09:37:32
"10,000",18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
200,18.8,sell,2024-11-15 09:37:32
500,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
"1,000",18.8,sell,2024-11-15 09:37:32
"10,000",18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
500,18.8,sell,2024-11-15 09:37:32
"1,000",18.8,sell,2024-11-15 09:37:32
900,18.8,sell,2024-11-15 09:37:32
300,18.8,sell,2024-11-15 09:37:32
"20,000",18.8,sell,2024-11-15 09:37:32
"1,000",18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
300,18.8,sell,2024-11-15 09:37:32
"1,000",18.8,sell,2024-11-15 09:37:32
"1,000",18.8,sell,2024-11-15 09:37:32
300,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
"10,000",18.8,sell,2024-11-15 09:37:32
500,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
"1,000",18.8,sell,2024-11-15 09:37:32
"1,000",18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
200,18.8,sell,2024-11-15 09:37:32
500,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
200,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
"1,000",18.8,sell,2024-11-15 09:37:32
"5,000",18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
300,18.8,sell,2024-11-15 09:37:32
"6,200",18.8,sell,2024-11-15 09:37:32
"10,000",18.8,sell,2024-11-15 09:37:32
500,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
300,18.8,sell,2024-11-15 09:37:32
"1,000",18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
200,18.8,sell,2024-11-15 09:37:32
"1,000",18.8,sell,2024-11-15 09:37:32
200,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
"5,000",18.8,sell,2024-11-15 09:37:32
200,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
"1,000",18.8,sell,2024-11-15 09:37:32
500,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
"1,000",18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
"10,000",18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
500,18.8,sell,2024-11-15 09:37:32
100,18.8,sell,2024-11-15 09:37:32
